USER_ID,PLAY_DATE,MATCHES_STARTED,MATCHES_COMPLETED,MATCHES_WON
155736bc1c03ce29dfe3af51672d601b018ec1ef,27/08/22 00:00,2,2,0
6033a4b28b8df695c0af401caf013782c696b2a2,09/08/21 00:00,3,3,0
6974093e63dab3badcf702a0f06f4997941cb101,20/03/22 00:00,7,6,0
123cace9611b3824c2f1bab5155815ff35ca9560,06/12/21 00:00,0,0,0
385db21bef7dcc2f22469f52158efb03f789f4e8,01/12/22 00:00,6,6,1
96239aa17f51da9ade2b9198194b6a1d41b95b2f,08/04/21 00:00,6,6,0
4d94e7c4c97caa77da6689efb626b1884c0a5fb1,26/04/22 00:00,15,14,0
bc9ca5ceec4adb351d1d0515f37a779bbeb75ebd,22/01/21 00:00,2,2,0
50543cddfa2e1c0318eaf91f467b164877db86b3,30/06/22 00:00,3,3,0
84aeaee6544ad82a4317147a1521ba646ab8d449,08/06/21 00:00,7,7,0
c1c2e9d3e8980fd6a85113ba0f387d1acf563f51,06/10/21 00:00,21,20,0
46e8beaedc8173c78641e4a14db2ddb72ae5827e,31/01/22 00:00,8,8,0
bedb2d1bf75bc782c9ffed08da27f890c24f6b90,13/01/22 00:00,0,0,0
1a29d3fb1e6cc5dc9e91615bc7dad2b9ab3c4b30,22/12/22 00:00,3,3,0
8b56430c2a071b14ecd6eb5159c91717f65d54d5,03/09/21 00:00,2,2,0
59adeda2480b6dbc172527d867fcc8f611c81434,07/10/22 00:00,6,6,0
2bf4303038f8343c5be61861201a712c6a3f12cd,19/02/22 00:00,1,1,0
ea16a77ef82426652d85a32a461b7c4bbc3cffeb,25/09/22 00:00,6,6,1
9e35004bd3527c86a08e1723a68edf864d2fb084,18/11/22 00:00,0,0,0
75d34cde62a69edb529a46f26eaf718792318d2a,14/07/21 00:00,0,0,0
8cd6877260ba41bcabe37de8315531a12050d4f5,24/12/21 00:00,5,5,0
768accc071a3567990acda17d9f6ea54a9bead54,23/11/22 00:00,4,4,0
f052c1d2e6585929c6ad0b48707765176b65df47,12/02/23 00:00,2,2,0
341e05d4eb7ea0fe41cea66226beae33e7ef1e9c,30/06/22 00:00,1,1,0
640bf12683845a0f81c79d7cc1c96a0055324a29,14/12/21 00:00,6,6,0
1c1c28aa7afd8d048ca4463559b77b817724f94d,08/03/22 00:00,8,8,0
e835ae1934d0367c7aeca130a9fd0d6a99fc5284,17/09/22 00:00,5,5,0
4c21e1e9abfdb3a1b9fe9a64b116422fbde3caa5,07/09/22 00:00,2,2,0
d4b3dccbf71946ae604d142792d1371b549a8a8e,03/08/22 00:00,2,2,0
3de36ad16c5d530956438e60b8022045403b406d,18/05/21 00:00,9,9,0
ee94384ca79e3b37546650cafa4eef2a0cbdd46b,09/10/21 00:00,4,4,0
4e06bd3bbf90091157ce036a67c49199f4aa409e,23/04/22 00:00,23,23,0
e1c31f90862fcff2d92248436a619460c501956b,10/03/21 00:00,5,5,1
cf39d7f0450fe9e3ad2daf675932423c7bbb900e,07/07/22 00:00,1,1,0
341fc154b351693e0cc35346017fde64fde5a132,23/04/22 00:00,2,2,0
89b4dfc51e3655e4961e413291d0bf33e7e981c5,03/01/23 00:00,3,3,0
b1005dacd31472b63ae3b543d1c36dbc95b25287,20/03/22 00:00,8,8,0
